Normal Walking,,,,Dorsi Walking,,,,Plantar Walking,,,
F1,F2,F3,F4,F1,F2,F3,F4,F1,F2,F3,F4
1.21,1.144165033,282.9558047,-161.2219122,1.16,1.677708942,308.3270243,-186.2862427,0.96,1.917711836,315.880166,-202.1768608
1.22,1.518077638,287.0543963,-176.4290506,1.17,1.386419367,299.1731521,-180.4708962,0.96,1.576033168,338.7008771,-199.8642631
1.22,1.483214649,295.3277498,-164.4219434,1.15,1.780472033,302.9871895,-186.1015542,0.97,1.985314672,345.8613795,-194.2888662
1.2,0.927068944,301.640325,-167.8920072,1.19,1.417667813,294.8696401,-185.0234012,0.96,1.640139787,343.2936998,-210.610485
1.2,0.945567407,293.1120555,-162.3709105,1.18,1.403486342,299.5589822,-188.0640001,0.95,1.760412688,349.5802263,-201.3336475
1.2,1.54932464,286.3641689,-168.8913066,1.2,1.380700489,305.2575693,-186.089712,0.97,1.629297575,341.3124885,-206.482529
1.19,1.629984934,286.8730659,-156.5395859,1.21,1.053197645,286.945703,-194.104498,0.94,1.385223074,351.2372943,-201.3989729
1.16,1.302374155,291.3923705,-169.9815643,1.19,1.152540412,288.8958998,-180.5277325,0.96,1.251557182,353.0894772,-210.4307699
1.18,1.02830478,289.7564272,-172.1675678,1.19,1.458802073,294.0753358,-187.2737562,0.96,1.626150915,344.0297899,-210.7851984
1.19,1.193083455,282.0521083,-177.1477314,1.18,1.658794951,304.2134981,-192.1129631,0.95,1.73727249,348.5301596,-211.2285873
1.2,1.066057465,282.6942565,-174.5156307,1.16,1.264218397,301.6937346,-185.8664966,0.94,1.412292811,350.0320308,-197.5525731
1.2,1.498051754,275.5184436,-182.9033141,1.19,1.197858695,316.0112637,-187.2343376,0.94,1.234496705,349.3954104,-203.106091
1.19,1.273075557,261.647333,-171.2826654,1.16,1.628421902,314.8377706,-178.2793659,0.96,1.77420863,343.3040744,-202.4871035
1.17,0.989284719,290.4955067,-167.606232,1.18,1.324027151,307.1030843,-182.9699901,0.93,1.496809855,354.2347524,-212.9245745
1.17,1.137905236,290.5630595,-169.2559075,1.17,1.472394809,314.0598365,-182.0848955,0.95,1.537408889,341.2482698,-211.1345588
1.2,1.04417285,290.1909424,-168.8896013,1.2,1.200539271,312.6022525,-183.6751929,0.94,1.366355771,345.87351,-207.6555422
1.2,1.320747055,286.5232556,-163.0071306,1.16,1.453033858,305.1373281,-185.4563352,0.95,1.475476091,349.7618334,-203.5635251
1.16,0.94383886,285.5804205,-164.9719261,1.14,1.429712928,316.7258911,-192.7146314,0.94,1.623534748,350.5648131,-203.4676463
1.16,1.086566417,300.1779904,-170.2024135,1.15,1.751064532,306.0509628,-178.2795863,0.96,2.046275628,340.655823,-199.9582332
1.19,0.94855762,310.0092233,-170.8880343,1.17,1.400698056,310.0861801,-181.2173601,0.95,1.502728865,347.9721675,-207.4988823
1.17,0.89781492,298.5174343,-167.5322628,1.17,1.596673112,302.527992,-182.8073185,0.95,1.605946324,354.7145478,-208.0830464
1.16,1.256636751,292.8190217,-156.7275257,1.17,1.138431673,324.6079181,-190.0197162,0.94,1.505838977,359.4972205,-204.2087088
1.17,0.70515522,289.7158901,-161.7967925,1.15,1.219524261,308.7425184,-182.0817476,0.94,1.223290536,355.2824478,-197.384269
1.17,1.334117688,289.5266546,-155.7181358,1.15,1.110964769,318.0260017,-194.41756,0.98,1.186291383,338.8310703,-198.6842988
1.15,1.036565222,289.036236,-167.1253934,1.14,1.601026765,306.8814499,-194.2561459,0.96,1.744417595,341.0452292,-202.5166317
1.16,1.271786286,300.3785947,-172.2130503,1.15,1.21016741,307.8197231,-189.2049829,0.97,1.219191883,343.5587571,-203.5325334
1.18,1.086038579,297.9520003,-166.9130414,1.13,1.297155083,307.2658426,-183.3274035,0.95,1.51066188,344.8446991,-198.9933423
1.17,1.112324795,291.1163667,-156.6513099,1.15,1.385827028,310.1220786,-183.094367,0.96,1.55989357,352.3494467,-204.3298117
1.18,0.831328148,272.0063967,-167.8963761,1.14,1.446350938,315.2726262,-185.6806494,0.96,1.499209088,338.7836971,-199.784595
1.16,1.069269162,291.0446611,-164.0763543,1.14,1.164353285,317.9755857,-188.6308613,0.98,1.531921933,343.9946022,-210.823979
1.16,1.11763921,288.9198391,-159.0241342,1.14,1.101549961,310.4419463,-183.1342148,0.98,1.126443113,332.5662314,-206.182925
1.17,1.047231888,279.8076541,-172.3015683,1.13,1.10343737,304.5694722,-179.8745941,1.02,1.460005149,323.9269308,-204.4272872
1.18,1.418955266,276.2483466,-176.0112739,1.16,1.246541357,308.5812266,-186.3802889,0.98,1.629756679,324.545851,-208.4922719
1.2,1.32314405,271.5979255,-172.7092753,1.17,1.395370566,308.3762739,-185.9018361,0.97,1.443532919,347.7159469,-211.1999479
1.2,1.381024414,297.2897754,-186.8813543,1.15,1.217018567,312.9804523,-183.8773765,0.95,1.521458919,350.5906862,-210.537385
1.16,1.085107738,296.1274136,-158.2988083,1.14,1.539342056,310.0783609,-191.2313852,0.96,1.921826083,352.3539239,-209.72237
1.18,1.211021334,302.402395,-174.0464947,1.14,1.541784197,315.7012333,-187.3738873,0.96,1.850800495,353.6914568,-216.6194293
1.16,1.149864466,302.5658862,-169.8448704,1.14,1.510621479,310.6676476,-187.5387514,0.95,1.832784588,355.832941,-211.8642082
1.16,1.212764705,294.9971322,-170.5160174,1.15,1.640120963,312.3773148,-189.4536852,0.97,2.008093209,349.0678032,-210.7304526
1.18,1.354449363,297.841844,-163.9721953,1.14,1.493938166,301.5368744,-193.9382725,0.96,1.708774006,350.9096031,-213.1961284
1.18,1.259535921,294.1836885,-164.2059695,1.16,1.305815679,298.2590997,-193.8407118,0.94,1.512862768,349.7898136,-209.2453318
1.16,0.84123692,290.898119,-170.7339358,1.15,1.280851328,300.0282255,-194.7036182,0.95,1.324536723,354.0392475,-214.0265619
1.16,1.075142472,285.814673,-167.4045431,1.17,1.473534448,296.9766933,-187.8510223,0.94,1.560830114,359.6825232,-212.8504561
1.19,0.970068015,291.788808,-164.2103257,1.15,1.27003233,315.994427,-190.0433758,0.96,1.348565763,354.3745292,-220.1945124
1.16,0.922628804,295.2503012,-166.1191182,1.14,1.078930671,314.4393186,-189.7609399,0.94,1.204239485,351.8177903,-204.4937202
1.15,1.05052673,305.9163013,-170.3907316,1.13,1.605482927,312.5079098,-185.4419094,0.95,1.751981988,344.6901667,-207.1327112
1.16,1.318789065,293.0152582,-160.2423303,1.13,1.659774137,320.5046994,-190.7314124,0.95,1.786819007,355.8179158,-212.0427707
1.15,1.190021111,301.1258712,-169.4302596,1.14,1.330591831,315.437698,-186.0554688,0.96,1.49882252,350.9761564,-208.5098482
1.18,1.531255119,282.6462104,-171.6021311,1.13,1.260740634,315.2043122,-186.6203722,0.95,1.519957331,354.4992591,-211.2325981
1.18,1.23589947,301.4080138,-160.9283725,1.12,1.506935339,325.6510621,-193.4915754,0.97,1.86321692,336.8110654,-209.8076396
1.16,1.23640172,294.1532569,-158.4458943,1.13,1.455185328,331.4869792,-189.235532,0.97,1.612586027,326.6884194,-215.2688372
1.19,1.05416818,295.4598794,-175.6629941,1.11,1.518961957,332.2641575,-198.9859668,0.98,1.581409146,336.4015505,-217.3600335
1.18,1.255779134,297.7707077,-163.3643685,1.13,1.57171252,317.3242838,-187.151377,0.98,1.681003313,334.1150089,-206.8897957
