F1,F2,F3,F4,
1.44,1.364343086,235.5129806,-142.9876451,dorsi
1.4,1.78859282,234.0993457,-135.1357833,dorsi
1.45,2.139472618,209.5163073,-139.3670478,dorsi
1.4,1.657823227,245.7593379,-148.412867,dorsi
1.39,1.760188335,271.7929278,-133.4826071,dorsi
1.41,1.768761647,239.8238482,-121.6295169,dorsi
1.38,1.412924912,236.6104327,-138.9900394,dorsi
1.37,1.380747184,263.797657,-146.5255275,dorsi
1.38,1.677969402,261.9946869,-139.4975811,dorsi
1.39,1.709837353,270.4754409,-130.9201149,dorsi
1.41,1.832563309,244.948265,-135.7565389,dorsi
1.41,1.722083923,249.0198919,-137.593282,dorsi
1.43,1.887166697,259.3416164,-132.0377287,dorsi
1.36,1.845331563,266.0061786,-136.229244,dorsi
1.39,1.708815552,275.8469447,-133.296811,dorsi
1.4,1.649712728,247.4617011,-128.7720781,dorsi
1.37,1.886576594,253.7320336,-130.7126519,dorsi
1.43,2.246282399,216.9555497,-128.1484221,dorsi
1.37,1.938614121,242.0733671,-141.2026391,dorsi
1.38,1.216508209,257.8142652,-139.0362755,dorsi
1.38,1.329704146,262.3351596,-135.0166737,dorsi
1.4,1.8735243,247.3958836,-136.4309692,dorsi
1.39,1.351440448,254.9393448,-137.3016036,dorsi
1.34,1.921227384,271.3405589,-142.2879489,dorsi
1.36,2.09081221,258.4791469,-136.9457355,dorsi
1.34,1.878453786,269.0290487,-134.263815,dorsi
1.39,1.668520079,262.6097676,-143.0126581,dorsi
1.4,1.644992313,254.738149,-127.759032,dorsi
1.35,1.666301832,261.7015272,-133.9488642,dorsi
1.34,1.840614705,280.0528888,-140.8721901,dorsi
1.36,1.459023948,277.8423022,-133.3247834,dorsi
1.37,1.794487533,275.9083941,-131.2088096,dorsi
1.39,1.808677133,264.1091364,-146.7408337,dorsi
1.36,1.629782371,256.9275561,-140.0015972,dorsi
1.38,1.179926862,261.5446489,-141.0237524,dorsi
1.38,2.03466138,274.8213684,-126.5742895,dorsi
1.39,2.073177563,259.2286978,-133.7553344,dorsi
1.36,1.457548831,252.790596,-127.5227663,dorsi
1.38,1.145976478,257.4968052,-147.0203998,dorsi
1.36,1.431452684,264.6735195,-129.9459391,dorsi
1.37,2.049025612,255.449841,-140.9161867,dorsi
1.39,1.679584497,264.6401798,-136.9878746,dorsi
1.38,1.6979989,254.7700955,-156.2857959,dorsi
1.39,1.550394171,250.1155415,-159.9507378,dorsi
1.43,1.700167148,238.0886213,-134.7665221,dorsi
1.43,1.294460734,254.7827739,-145.7559233,dorsi
